Estacion,Longitud,Latitud,Altura,Source
9 de julio,-60.88,-35.44,76,SMN
aeroparque,-58.41,-34.56,6,SMN
anguil,-63.98,-36.5,165,INTA
bahia blanca,-62.15,-38.72,83,SMN
balcarce,-58.3,-37.75,130,INTA
barrow,-60.25,-38.32,120,INTA
bella vista,-58.92,-28.43,70,INTA
bordenave,-63.02,-37.85,212,INTA
buenos aires,-58.48,-34.59,25,SMN
castelar,-58.67,-34.61,22,INTA
catamarca aero,-65.75,-28.59,454,SMN
ceres aero,-61.93,-29.87,88,SMN
cerro azul,-55.43,-27.65,283,INTA
colonia benitez,-58.93,-27.42,54,INTA
concepcion,-58.35,-32.49,25,INTA
concordia,-58,-31.3,38,SMN
cordoba aero,-64.21,-31.31,493,SMN
cordoba obs,-64.2,-31.42,425,SMN
coronel suarez,-61.89,-37.45,233,SMN
corrientes,-58.76,-27.45,62,SMN
dolores,-57.72,-36.32,9,SMN
ezeiza,-58.54,-34.81,20,SMN
famailla,-65.42,-27.05,363,INTA
formosa,-58.23,-26.21,60,SMN
gral pico,-63.76,-35.69,145,SMN
gualeguaychu,-58.61,-33.01,21,SMN
hilario,-62.62,-39.38,22,INTA
iguazu,-54.48,-25.73,270,SMN
jujuy aero,-65.09,-24.38,905,SMN
junin,-60.93,-34.55,81,SMN
la consulta,-69.12,-33.73,740,INTA
la plata,-57.89,-34.97,23,SMN
la quiaca,-65.6,-22.1,3459,SMN
la rioja aero,-66.79,-29.38,429,SMN
laboulaye,-63.36,-34.13,137,SMN
las brenas,-61.1,-27.1,102,INTA
las lomitas,-60.59,-24.7,130,SMN
malargue,-69.58,-35.48,1425,SMN
manfredi,-63.77,-31.82,292,INTA
mar del plata,-57.58,-37.93,21,SMN
marcos juarez,-62.12,-32.68,110,INTA
marcos juarez aero,-62.15,-32.68,114,SMN
mendoza aero,-68.8,-32.83,704,SMN
mendoza obs,-68.87,-32.89,827,SMN
mercedes,-58.02,-29.17,100,INTA
monte caseros,-57.64,-30.27,54,SMN
neuquen,-68.14,-38.95,271,SMN
oliveros,-60.85,-32.55,26,INTA
oran aero,-64.33,-23.15,357,SMN
parana,-60.54,-31.85,110,INTA
parana aero,-60.48,-31.79,78,SMN
paso de los libres,-57.15,-29.69,70,SMN
pehuajo,-61.86,-35.84,87,SMN
pergamino,-60.55,-33.93,65,INTA
pigue,-62.39,-37.61,304,SMN
pilar aero,-63.88,-31.68,338,SMN
posadas,-55.97,-27.39,125,SMN
punta indio,-57.25,-35.27,22,SMN
rafaela,-61.55,-31.18,100,INTA
reconquista,-59.7,-29.18,42,INTA
reconquista aero,-59.69,-29.2,53,SMN
resistencia,-59.05,-27.44,52,SMN
rio cuarto,-64.27,-33.09,421,SMN
roque saenz pena,-60.45,-26.87,90,INTA
rosario,-60.78,-32.92,25,SMN
salta aero,-65.48,-24.84,1221,SMN
san juan,-68.32,-31.37,618,INTA
san juan aero,-68.42,-31.57,598,SMN
san luis,-66.35,-33.27,713,SMN
san martin,-68.47,-33.08,653,SMN
san miguel,-58.72,-34.54,26,SMN
san pedro,-59.68,-33.68,28,INTA
san rafael,-68.4,-34.59,748,SMN
santa rosa,-64.28,-36.59,191,SMN
santiago del estero,-64.3,-27.76,199,SMN
sauce viejo,-60.81,-31.71,18,SMN
tandil,-59.24,-37.24,175,SMN
tinogasta,-67.58,-28.04,1201,SMN
tres arroyos,-60.33,-38.39,115,SMN
villa dolores,-65.15,-31.95,569,SMN
villa mercedes,-65.48,-33.72,515,INTA
villa reynolds,-65.37,-33.72,486,SMN
zavalla,-60.88,-33.02,50,INTA
